id,Category
1,1
2,0
3,1
4,1
5,0
6,0
7,0
8,5
9,1
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,1
28,5
29,0
30,0
31,1
32,1
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,1
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,0
84,0
85,1
86,0
87,1
88,0
89,1
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,1
99,0
100,0
101,1
102,0
103,1
104,1
105,0
106,1
107,0
108,0
109,0
110,0
111,1
112,0
113,1
114,0
115,0
116,1
117,0
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,1
171,0
172,5
173,1
174,1
175,1
176,0
177,1
178,1
179,1
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,1
188,0
189,0
190,0
191,5
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,1
207,1
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,1
235,1
236,0
237,0
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,5
247,1
248,1
249,0
250,0
251,0
252,0
253,1
254,0
255,1
256,0
257,0
258,0
259,0
260,5
261,1
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,5
276,1
277,0
278,0
279,0
280,1
281,0
282,1
283,1
284,0
285,0
286,0
287,0
288,0
289,0
290,1
291,0
292,1
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,0
318,0
319,0
320,1
321,1
322,1
323,0
324,0
325,0
326,0
327,1
328,0
329,1
330,0
331,0
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,5
355,1
356,0
357,0
358,1
359,0
360,1
361,0
362,1
363,0
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,0
384,0
385,1
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,0
394,0
395,1
396,5
397,0
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,1
406,0
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,1
423,1
424,0
425,1
426,1
